"id","country","publication_date","source","source_type","headline"
934,"Germany","2012-12-15","taz","Print","Die Eltern sind überalarmiert;
INTEGRATION Grundschüler aus Zuwandererfamilien werden besser. Trotzdem meiden
Eltern oft Schulen mit vielen Migranten - zu Unrecht, so Bildungsforscher
Wilfried Bos"
935,"Spain","2015-12-15","El Pais","Print","Todos los partidos se olvidan de los inmigrantes en sus listas electorales"
936,"Hungary","2016-04-28","Magyar Hirlap","Print","Vita nélküli vita a terrorelhárításról"
937,"Poland","2011-07-26","Gazeta Wyborcza","Print","Między „Tangiem a „Emigrantami"
938,"Poland","2015-06-22","Rzeczpospolita","Print","W skrócie"
939,"Spain","2010-07-24","El Pais","Print","Baja el número de alumnos en las aulas separadas para inmigrantes"
940,"Sweden","2003-01-11","Aftonbladet","Print","- Slöddret ska rensas ut"
941,"Poland","2017-07-24","Gazeta Wyborcza","Print","Hej, kto z PiS-u, na ludowca!"
942,"Germany","2007-02-08","Frankfurter Rundschau","Print","IN KÜRZE"
943,"UK","2015-07-01","Daily Mirror","Print","Fast-track asylum bids"
944,"Spain","2016-04-25","El Pais","Print","Los inmigrantes europeos ganan peso en Barcelona"
945,"UK","2004-12-20","The Daily Telegraph","Print","Why I'll be voting in favour of the Identity Cards Bill"
946,"Germany","2002-04-19","Die Welt","Print","Israel beginnt mit Teilrückzug aus Jenin;
UNO ist schockiert über die Zustände im Flüchtlingslager und spricht von einer
humanitären Katastrophe"
947,"Romania","2007-12-04","Romania Libera","Print","Romania, pe locul 10 in lume dupa banii trimisi in tara de emigranti"
948,"UK","2005-07-27","The Guardian","Print","Reviews: Theatre: The Suppliants: BAC, London 2/5"
949,"Hungary","2016-01-08","Magyar Hirlap","Print","Káosz volt Kölnben a rendőrök szerint"
950,"Romania","2015-10-14","Ziarul Financiar","Print","UE critică pasivitatea statelor membre în privinţa eforturilor antiimigraţie"
951,"Sweden","2003-12-12","Aftonbladet","Print","Fredrik Reinfeldt glömde invandrarna"
952,"Spain","2003-12-04","El Mundo","Print","Seis argelinos 'sin papeles' denuncian haber recibido una paliza de la policia
de Ceuta.
Los denunciantes, solicitantes de asilo, fueron agredidos mientras dormian en la
playa - Fuentes policiales argumentan que todos se cayeron y se autolesionaron
en la fuga."
953,"UK","2008-08-22","The Daily Telegraph","Print","Eastern European slowdown"
954,"Hungary","2015-12-04","Magyar Hirlap","Print","Kampány indul a betelepítésekről"
955,"Romania","2015-05-03","Ziarul Financiar","Print","Aproape 3.700 de imigranţi clandestini salvaţi pe Mediterana într-o singură zi"
956,"Romania","2015-11-30","Romania Libera","Print","Klaus Iohannis participă, luni, la summitul pentru mediu de la Paris"
957,"Sweden","2008-04-06","Dagens Nyheter","Print","Papperslösa fick studentstöd"
958,"Romania","2015-09-18","Romania Libera","Print","Criza imigranților : Klaus Iohannis va participa la Consiliul extraordinar de la Bruxelles"
959,"Romania","2015-04-23","Evenimentul Zilei","Print","Preşedintele Iohannis, la reuniunea extraordinară a Consiliului European"
960,"Poland","2008-06-26","Gazeta Wyborcza","Print","Przemyskie przedszkolaki z prezentami dla uchodźców"
961,"Poland","2014-06-30","Rzeczpospolita","Print","Bardzo luksusowo i drogo"
962,"Romania","2017-01-15","Ziarul Financiar","Print","Aproximativ 100 persoane au dispărut după ce o barcă cu imigranţi s-a scufundat în largul Libiei"
963,"UK","2016-06-30","The Daily Telegraph","Print","Gove's wife warns him about risk of backing Boris in leaked email;
BRE IT ; Sarah Vine tells husband to secure guarantees on immigration controls
as the price of his support ; Contenders line up as rivals to Boris for party
leadership"
964,"Hungary","2017-12-22","Magyar Idök","Print","Több a botrány, kevesebb a támogató a Jobbiknál"
965,"Poland","2012-08-09","Rzeczpospolita","Print","Imigranci odsyłani z Grecji"
966,"UK","2000-02-12","The Guardian","Print","UN agency failed to meet refugee crisis, says report"
967,"Sweden","2016-07-22","Aftonbladet","Print","Fem år senare ses öppenhet som fult"
968,"Spain","2001-01-28","El Pais","Print","LOS ALCALDES DEL PSOE PIDEN MAS COMPETENCIAS SOBRE INMIGRACION"
969,"Sweden","2016-12-15","Expressen","Print","En iskall vinter"
970,"Sweden","2015-04-29","Svenska Dagbladet","Print","Utlänningar avrättade i Indonesien"
971,"UK","2015-09-11","The Daily Telegraph","Print","Refugees get free passage through Denmark;
Northern neighbours attack Copenhagen's decision to abandon registration of new
arrivals"
972,"UK","2009-05-16","The Guardian","Print","Saturday Review: FICTION: The lost: Stevie Davies applauds a sympathetic
portrayal of modern London's immigrant underclass: Hearts and Minds by Amanda
Craig 422pp, Little, Brown, £17.99"
973,"Spain","2006-12-28","El Mundo","Print","BALANCE DE 2006 / LA CIUDAD DEL ANO.
El record."
974,"UK","2014-05-13","telegraph.co.uk","Online","British asian Ukip youth leader quits 'racist' and 'terrifying' Ukip;
Sanya-Jeet Thandi, who defended her support of Ukip on Channel Four news, says
the party is now appealing to 'stupidity of ignorant anti-immigrant voters for
electoral gain'"
975,"Sweden","2008-08-18","Svenska Dagbladet","Print","Invandrare startar ofta företag utan lån"
976,"Hungary","2016-12-21","Magyar Hirlap","Print","„Sorostalanítanák Macedóniát"
977,"Hungary","2011-06-27","Nepszabadsag","Print","Tibetieket zaklattak"
978,"Sweden","2015-08-29","Aftonbladet","Print","Okänd pojke har dött på sjukhuset"
979,"Hungary","2010-08-27","Nepszabadsag","Print","Folytatódik a cigányok kitoloncolása"
980,"Romania","2016-07-21","Evenimentul Zilei","Print","Harta MIGRAŢIEI . Cum au fost „CUCERITE de alte popoare statele Europei"
981,"Spain","2005-01-13","El Pais","Print","Espana pedira a la UE que financie un sistema de radares en Marruecos"
982,"Poland","2011-05-18","Rzeczpospolita","Print","Co Holandia zrobi z Polakami"
983,"Romania","2012-08-16","Ziarul Financiar","Print","Marea Britanie ameninţă Ecuadorul că va lua cu asalt ambasada de la Londra dacă nu îl predă pe fondatorul Wikileaks"
984,"Poland","2008-01-16","Gazeta Wyborcza","Print","Beenhakker skarciłby Cieślaka"
985,"Poland","2017-01-18","Rzeczpospolita","Print","Boom na informatyków z importu"
986,"Romania","2015-09-30","Romania Libera","Print","Ponta, vizită în Iordania. Câți bani i-a dat România pentru criza refugiaților"
987,"Poland","2016-09-21","Rzeczpospolita","Print","Ryzykowna elastyczna solidarność"
988,"Poland","2007-05-21","Gazeta Wyborcza","Print","Jeden z zabitych pod Trypolisem bojowników był poszukiwany za próbę zamachu w
Niemczech"
989,"UK","2014-08-09","Daily Mirror","Print","BLASTED BY OBOMBA;
MELTDOWN IN MIDDLE EAST: SAS IN WAR ON JIHADIS US jets pound militants as
humanitarian crisis escalates Brit special forces sent in to help rescue
refugees"
990,"Germany","2017-09-26","Welt Online","Online","Bayerischer Flüchtlingsrat befürchtet schärfere Asylpolitik"
991,"Spain","2009-06-16","ABC","Print","Rubalcaba no es «muy partidario» de revisar las competencias en la tutela de los
menores inmigrantes"
992,"Poland","2011-05-25","Rzeczpospolita","Print","Wizyta starszej pani"
993,"Spain","2008-08-06","ABC","Print","La sonrisa de un niño"
994,"Sweden","2014-06-14","Svenska Dagbladet","Print","Eva Winther"
995,"Poland","2013-12-20","Rzeczpospolita","Print","Dzieciństwo bez matki"
996,"Hungary","2016-01-07","Nepszabadsag","Print","Sokan elhagyják majd az országot"
997,"Romania","2016-12-07","Romania Libera","Print","Leonard Orban: Brexitul este o problemă serioasă. E un proces omplicat care ridică multe probleme administrative, cât și politice la nivelul UE"
998,"Hungary","2016-06-10","Nepszabadsag","Print","A béremelés nem fogja megállítani az egészségügyisek elvándorlását"
999,"Sweden","2014-08-30","Svenska Dagbladet","Print","Riskkapitalets nya guldkorn"
1000,"Poland","2007-10-31","Gazeta Wyborcza","Print","Chiny: wojsko ostrzelało uciekających do Nepalu Tybetańczyków"
1001,"Poland","2007-12-26","Gazeta Wyborcza","Print","Od czwartku licytujemy pamiątki z granic!"
1002,"Spain","2007-02-16","El Pais","Print","Trabajo investiga la situación laboral de las modelos"
1003,"Hungary","2017-10-17","Nepszava","Print","Nyomasztásból gyűlölet"
1004,"Hungary","2016-07-30","Nepszabadsag","Print","Orbán forradalomra készül Európában, átvenné a vezetést is"
1005,"Poland","2008-02-27","Gazeta Wyborcza","Print","800 tys. imigrantów z Europy Wsch. próbowało zarejestrować się do pracy"
1006,"UK","2001-05-19","Daily Mirror","Print","ELECTION 2001: ELECTION WATCH;
 THE ALTERNATIVE GUIDE"
1007,"Sweden","2015-12-27","Svenska Dagbladet","Print","Det otänkbara är sant i dag"
1008,"Poland","2007-07-03","Gazeta Wyborcza","Print","Emigranci: Nie wracamy"
1009,"Poland","2013-08-26","Gazeta Wyborcza","Print","Izraelska armia strzelała do Palestyńczyków. Rozmowy pokojowe odwołane"
1010,"Romania","2017-02-22","Ziarul Financiar","Print","Justin Trudeau: Canada va continua să primească solicitanţii de azil ce traversează ilegal din SUA"
1011,"Germany","2014-09-26","Frankfurter Rundschau","Print","Stadt klagt Geld ein"
1012,"UK","2015-11-02","The Guardian","Print","Domestic workers in Hong Kong: what being a migrant means to me;
Hong Kong has 300,000 foreign domestic helpers, mostly women from Indonesia and
the Philippines. NGO Lensational gave cameras to a group of them"
1013,"Spain","2010-09-06","ABC","Print","El PP catalán pide que se «priorice» la inmigración de origen hispano"
1014,"Germany","2016-11-08","Welt Online","Online","Kein Bedarf für weitere Altersuntersuchung Geflüchteter"
1015,"Poland","2015-01-23","Gazeta Wyborcza","Print","Angelina Diabolina. „Czarownica w telewizji"
1016,"UK","2003-02-20","The Guardian","Print","Blunkett to fight asylum ruling: Plan to halve refugee intake in doubt after
judge outlaws denial of welfare support in late claims cases"
1017,"Germany","2015-11-18","taz","Print","Ans Angeln denkt keiner&quot;;
Die drei Fragezeichen"
1018,"Hungary","2016-04-07","Magyar Idök","Print","Újra napirenden a dublini rendszer reformja"
1019,"Poland","2006-11-19","Gazeta Wyborcza","Print","Migracja za chlebem niewiele pomoże gospodarce"
1020,"Poland","2015-09-28","Rzeczpospolita","Print","Wielka rozgrywka Moskwy"
1021,"UK","2016-10-08","The Daily Telegraph","Print","Syrian children in Germany attacked;
WORLD BULLETIN"
1022,"Poland","2007-11-16","Gazeta Wyborcza","Print","Sedesowe obrazoburstwo islamu?"
1023,"Sweden","2002-06-06","Dagens Nyheter","Print","DN gratulerar: Intygad medborgare"
1024,"Sweden","2008-12-16","Dagens Nyheter","Print","Finland har stoppat avvisningarna"
1025,"Poland","2009-01-13","Gazeta Wyborcza","Print","Elana już z obcokrajowcami. Kto odejdzie?"
1026,"Spain","2000-10-07","El Pais","Print","VECINOS DE LANZAROTE SE MANIFIESTAN EN CONTRA DE LA INVASION FORANEA;
  EL NOBEL SARAMAGO ENCABEZA OTRA MARCHA PARALELA CONTRA EL RACISMO"
1027,"UK","2015-08-28","The Daily Telegraph","Print","Lorry full of refugees' bodies found abandoned on roadside in Austria;
Up to 50 dead, say police as they struggle to count victims because they were so
tightly packed"
1028,"Germany","2007-09-27","Die Welt","Print","Integrationspreis für Arbeit mit Einwanderern"
1029,"UK","2011-01-22","The Daily Telegraph","Print","EU court ruling 'opens door for asylum seekers'"
1030,"Spain","2001-04-23","El Pais","Print","GASTRONOMIA CONTRA LA LEY DE EXTRANJERIA."
1031,"Romania","2011-06-28","Romania Libera","Print","Filieră chineză de imigraţie ilegală, destructurată în Europa"
1032,"Germany","2016-04-11","Frankfurter Rundschau","Print","Wie toll das ist, ohne Grenzen"
1033,"Sweden","2013-11-13","Aftonbladet","Print","Polis sköt ihjäl beväpnad man"
1034,"Poland","2005-07-26","Gazeta Wyborcza","Print","Uczelnie walczą o cudzoziemców"
1035,"Germany","2011-02-23","taz","Print","Ministerin Gnadenlos;
PORTRAIT"
1036,"Germany","2016-08-17","Frankfurter Rundschau","Print","Weiter so ist zu wenig"
1037,"Hungary","2015-08-24","Magyar Idök","Print","Hírsor"
1038,"Poland","2001-05-05","Rzeczpospolita","Print","Afront wobec Waszyngtonu"
1039,"UK","2017-07-28","telegraph.co.uk","Online","Philip Hammond claims 'literally nobody' wants a post-Brexit migration
'cliff-edge'"
1040,"UK","2014-07-18","telegraph.co.uk","Online","We can't be half in the ECHR - we should leave cleanly"
1041,"UK","2003-12-09","Daily Mirror","Print","STAMP IT OUT MR BLUNKETT;
 FULL INQUIRY AFTER MIRROR UNCOVERS CULTURE OF RACISM AT YARL'S WOOD"
1042,"UK","2013-07-13","telegraph.co.uk","Online","Keith Vaz: Immigration backlog 'totally unnacceptable';
After a report reveals that the Home Office's immigration backlog will take
until the year 2050 to clear at current rates, Keith Vaz, Chair of the Home
Affairs Select Committee, says the border service needs a change of culture."
1043,"Hungary","2016-05-13","Magyar Hirlap","Print","Nem tetszik az ENSZ-nek az új osztrák menekültügyi törvény"
1044,"Romania","2004-03-26","Romania Libera","Print","Gestionarea fluxurilor de imigranti prin videoconferinta"
1045,"Hungary","2015-06-23","Nepszabadsag","Print","Varsóban nem működne az orbánizmus"
1046,"Spain","2004-02-04","El Mundo","Print","La ONG Manos Unidas batalla en 58 paises contra la globalizacion de la
pobreza.
La organizacion espanola presenta su nueva campana con testimonios sobre el
genocidio de los anuak de Etiopia, los ninos de la calle indios y la situacion
en las 'favelas' brasilenas."
1047,"Hungary","2015-09-24","Nepszabadsag","Print","Előkészületek a horvát határ lezárására"
1048,"Germany","2015-09-07","taz","Print","Agentur: Schäuble plant Nachtragsetat;
Flüchtlingskosten"
1049,"Romania","2016-07-01","Romania Libera","Print","Brexit. Juncker:Libertatea de circulaţie a persoanelor nu se va schimba"
1050,"Spain","2001-03-19","El Pais","Print","EL PRETEXTO"
1051,"Romania","2017-09-13","Romania Libera","Print","VIDEO FOTO O ambarcaţiune cu 153 de migranţi , descoperită în Marea Neagră"
1052,"Spain","2015-09-16","ABC","Print","CULTURA DE BIENVENIDA"
1053,"Romania","2017-08-27","Ziarul Financiar","Print","Paul Ryan, preşedintele Camerei Reprezentanţilor din SUA, critică decizia lui Trump de graţiere a unui şerif condamnat pentru arestarea imigranţilor"
1054,"Romania","2016-03-15","Evenimentul Zilei","Print","Prim-ministrul Cioloş, pe Facebook: ''Sângele trebuie lăsat să urce spre creier şi nu să coboare în... instalaţie''"
1055,"UK","2015-11-26","The Guardian","Print","Cameron ally says hopes fading for EU membership deal this year;
December deadline slipping, warns Dutch PM, as counter-terrorism and migration
dislodge 'British question' from European summit agenda"
1056,"Hungary","2016-09-27","Nepszabadsag","Print","Odaadják a menekülteknek az önkormányzati lakásokat?"
1057,"Poland","2006-06-28","Gazeta Wyborcza","Print","Holandia nie wydali somalijskiej posłanki"
1058,"Romania","2007-02-13","Romania Libera","Print","Telefoanele mobile ieftinesc transferurile de bani"
1059,"UK","2016-12-17","Daily Mirror","Print","Labour 'in need of working class voice like Prescott's' MESSAGE Carwyn Jones;
EXCLUSIVE"
1060,"Spain","2013-03-21","ABC","Print","El PSOE culpa a los ajustes de 2.400 muertes;
Santamaría avisa de que «en política no vale todo» y acusa a la oposición de
demagogia"
1061,"UK","2017-06-07","Daily Mirror","Print","Terrorist beat wife, kicked her, locked her in if she drank;
ATTACK ON BRITAIN: MUM TELLS OF MARRIAGE HELL TO JIHADI EXCLUSIVE"
1062,"Germany","2000-12-07","taz","Print","Lizenz zum Lueckenbuessen"
1063,"Spain","2005-11-18","El Pais","Print","El Gobierno firmara con Rumania un acuerdo de repatriacion de menores"
1064,"Poland","2004-10-01","Gazeta Wyborcza","Print","Muzułmanie chcą fatwy dla Hirsi"
1065,"Spain","2016-02-20","El Pais","Print","La UE alcanza un acuerdo para evitar la salida de Reino Unido"
1066,"Romania","2014-01-14","Romania Libera","Print","Sabin Cutaş: Atacurile la adresa românilor şi bulgarilor îndeamnă la xenofobie"
1067,"Spain","2000-12-08","El Pais","Print","ESPANA E ITALIA PIDEN SOLIDARIDAD ANTE EL PROBLEMA DE LA INMIGRACION"
1068,"Poland","2006-09-11","Rzeczpospolita","Print","Nie będzie kontroli nad pracownikami z zagranicy"
1069,"UK","2005-04-18","The Daily Telegraph","Print","Land of hope and glory"
1070,"Hungary","2016-11-11","Magyar Hirlap","Print","Megnyílt az első átmeneti menekülttábor Párizsban"
1071,"Romania","2015-09-28","Romania Libera","Print","Măsurile CE privind criza migraţiei , criticate într-o declarație adoptată de Senat"
1072,"Hungary","2015-08-03","Nepszava","Print","Sereg nincs, a fegyver fogy"
1073,"Germany","2014-04-14","taz","Print","Wie geht es uns, Herr Küppersbusch?;
Die Doktorarbeit ist neuerdings die Taxilizenz der Besserverdienenden und
Katzenkrimis sind gefährlich ICH MEINE, DU DEINE"
1074,"Romania","2015-08-26","Ziarul Financiar","Print","Austria recurge la armată pentru a face faţă crizei imigranţilor"
1075,"Poland","2012-03-12","Gazeta Wyborcza","Print","Wielka ewakuacja na Pacyfiku"
1076,"Romania","2015-11-20","Evenimentul Zilei","Print","GERMANIA a încălcat grav LEGISLAŢIA UE când a invitat UN MILION DE REFUGIAŢI musulmani să vină în EUROPA. România, în situaţie INEDITĂ: Dacă acceptă REFUGIAŢII încalcă propria CONSTITUŢIE"
1077,"Hungary","2015-09-28","Nepszava","Print","Cáfolják a számok a kormányt"
1078,"UK","2002-09-10","The Daily Telegraph","Print","Faith in crisis"
1079,"UK","2016-07-30","The Guardian","Print","Pope Francis holds vigil near Kraków amid tension over refugees;
Poland's PM defends government's refusal to accept migrantsUp to 1.8 million
believers are set to attend closing mass on Sunday"
1080,"Sweden","2010-11-03","Expressen","Print","Sluta avvisa kristna irakier"
1081,"Spain","2003-08-02","El Pais","Print","La muerte de 10 inmigrantes eleva a 25 las victimas de pateras en dos noches en
Canarias"
1082,"Poland","2016-01-28","Rzeczpospolita","Print","Politycy liczą na media"
1083,"Hungary","2016-07-01","Magyar Idök","Print","Arisztokratikus uralom óriási médiatámogatással"
1084,"Hungary","2016-04-08","Magyar Hirlap","Print","Az osztrák-magyar határ újabb szakaszán épülhet kerítés"
1085,"Germany","2016-02-11","Spiegel Online","Online","Koalition legt Streit über Elternnachzug für minderjährige Flüchtlinge bei;"
1086,"Sweden","2012-11-14","Svenska Dagbladet","Print","Postorderbrudarnas möte med rasismen"
1087,"Germany","2015-08-19","taz","Print","Ruf nach Flexibilität;
FLÜCHTLINGE Um Unterkünfte zu bauen, möchte Niedersachsen Vorschriften gelockert
sehen"
1088,"Hungary","2015-06-19","Nepszabadsag","Print","Vucsicsnak Auschwitz jutott eszébe"
1089,"Spain","2016-04-07","ABC","Print","Bruselas presenta su plan para reformar el derecho de asilo"
1090,"Hungary","2016-12-02","Magyar Hirlap","Print","Társai is lehetnek a leleplezett német iszlamistának"
1091,"Sweden","2001-10-18","Aftonbladet","Print","De kommer inte från medeltiden"
1092,"UK","2015-10-14","Daily Mirror","Print","Minister: I'm not revealing refugee stats"
1093,"Hungary","2016-09-06","Magyar Idök","Print","Meghosszabbították a válsághelyzetet"
1094,"Germany","2015-04-21","Welt Online","Online","Schlepper;
Polizei nimmt Kapitän von Flüchtlingsboot fest"
1095,"Sweden","2010-06-21","Dagens Nyheter","Print","Utopiska krav"
1096,"Spain","2008-06-09","ABC","Print","«Las leyes de inmigración reflejan la historia de un aprendizaje»"
1097,"Germany","2015-09-25","Frankfurter Rundschau","Print","Nichts bleibt ewig, wie es ist"
1098,"Spain","2012-11-15","ABC","Print","Correa busca en España el voto de los emigrantes ecuatorianos;
En Sevilla congregó a cientos de compatriotas en el Auditorio de la Cartuja"
1099,"Germany","2012-11-01","taz","Print","Flüchtlingsdrama im Golf von Bengalen;
BIRMA/BANGLADESCH"
1100,"Sweden","2016-01-07","Dagens Industri","Print","EU vill få stopp på id-koll"
1101,"Sweden","2010-10-10","Svenska Dagbladet","Print","Joachim Colling"
1102,"Spain","2002-06-22","El Mundo","Print","ORIENTE PROXIMO / UNA GUERRA NO DECLARADA
Un tanque israeli mata a tres ninos en un mercado de Yenin
Arafat acepta publicamente y por primera vez el plan de paz de Clinton que solo
incluye un regreso limitado de los refugiados palestinos"
1103,"Romania","2016-03-17","Romania Libera","Print","Dragnea: Participarea României la efortul de relocare a migranţilor ar trebui să fie menţinută"
1104,"Germany","2010-11-05","Spiegel Online","Online","Maskierter Passagier foppt Flughafen-Aufpasser"
1105,"Poland","2006-06-28","Rzeczpospolita","Print","Nie odwracajcie się od uchodźców"
1106,"Hungary","2016-11-30","Magyar Hirlap","Print","Kósa Lajos: 90-100 milliárd forintból szerelik fel a határvadászokat"
1107,"Sweden","2014-12-27","Svenska Dagbladet","Print","Asylrätten inget vi kommit på"
1108,"Hungary","2013-08-29","Magyar Hirlap","Print","Befejeződött az etióp zsidók áttelepítése"
1109,"Poland","2017-05-14","Gazeta Wyborcza","Print","Gdyby Kasia Moś wyszła za mąż za uchodźcę z ISIS.... Kukiz ma swoją receptę
na Eurowizję"
1110,"Spain","2004-03-30","El Mundo","Print","Detienen a dos 'skin' por intentar tirar por un puente a un inmigrante ."
1111,"Hungary","2015-12-17","Magyar Hirlap","Print","„Hazugságlista az uniós baloldaltól"
1112,"Germany","2015-10-06","Welt Online","Online","Beschlagnahmungsgesetz;
Angebotene Immobilien für Flüchtlinge nicht erfasst"
1113,"Romania","2016-11-30","Ziarul Financiar","Print","Imigrant sirian, condamnat la zece ani de închisoare în Ungaria"
1114,"Hungary","2017-03-14","Magyar Hirlap","Print","Ankara újraértékelné a menekültügyi egyezményt"
1115,"Hungary","2015-02-12","Nepszava","Print","Remegő Térdek Órája"
1116,"UK","2000-06-21","Daily Mirror","Print","FINANCIAL MIRROR: CALLS FOR WORKING REFUGEES"
1117,"Hungary","2016-07-21","Magyar Hirlap","Print","Alaptörvény tilthatja a betelepítést"
1118,"Sweden","2015-06-12","Svenska Dagbladet","Print","Det behövs en stor nettoinvandring"
1119,"Hungary","2017-10-19","Magyar Idök","Print","Béna kacsák uniós csúcsa"
1120,"Romania","2015-09-25","Evenimentul Zilei","Print","DIICOT a reţinut mai multe persoane pentru trafic de MIGRANŢI . Capul grupării era cetăţean congolez"
1121,"Spain","2001-04-23","El Pais","Print","DOS ASOCIACIONES PIDEN PAPELES PARA LOS NINOS QUE NO SE REPATRIEN EN SEIS MESES"
1122,"Germany","2016-09-20","Welt Online","Online","Hoyerswerda;
Einheimische und Flüchtlinge geraten aneinander"
1123,"Germany","2014-12-23","Welt Online","Online","Landesregierung;
Suhler Flüchtlingsheim wird weiter gebraucht"
1124,"Germany","2012-04-11","Frankfurter Rundschau","Print","Zu gut für die Schule;
Der kanadische Spielfilm Monsieur Lazhar"
1125,"Germany","2012-06-21","Frankfurter Rundschau","Print","Zeichen setzen;
Bei der Parade der Kulturen demonstrieren Frankfurts Bürger den Schulterschluss
- für ein friedliches Zusammenleben aller Kulturen in der Stadt"
1126,"Spain","2002-04-27","El Pais","Print","CANARIAS QUIERE DENUNCIAR A MARRUECOS POR COMPLICIDAD EN EL TRAFICO DE
INMIGRANTES EL GOBIERNO AUTONOMO RECLAMA UN TRATAMIENTO SINGULAR PARA LAS ISLAS
ANTE EL ALUVION DE PATERAS"
1127,"Poland","2015-04-15","Gazeta Wyborcza","Print","Wyborczy cios w imigrantów"
1128,"Spain","2006-06-26","El Mundo","Print","HALLAN UNA PATERA QUE LLEVABA DOS NOCHES A LA DERIVA."
1129,"Sweden","2009-08-27","Dagens Nyheter","Print","Utvisades trots ökade förföljelser"
1130,"Romania","2016-09-20","Ziarul Financiar","Print","Suedia doreşte sancţionarea statelor membre care fac parte din UE şi nu preiau imigranţi"
1131,"Spain","2006-06-01","El Mundo","Print","Mas de 300 'sin papeles' arriban a las costas espanolas."
1132,"Romania","2014-02-01","Jurnalul National","Print","Deutsche Welle: Preşedintele Băsescu nu are nicio întâlnire politică la Berlin. Probabil că NU ARE NIMENI TIMP PENTRU EL"
1133,"UK","2014-02-24","The Daily Telegraph","Print","Merkel poised to back Cameron's push for reform of ties with EU"
1134,"Sweden","2007-05-02","Dagens Nyheter","Print","Guantánamo light."
1135,"Poland","2017-09-21","Rzeczpospolita","Print","Cudzoziemiec musi pracować zgodnie z zezwoleniem"
1136,"Sweden","2015-04-28","Dagens Nyheter","Print","Fler små steg mot oklart mål"
1137,"Romania","2017-09-19","Evenimentul Zilei","Print","ÎNGRIJORARE la Bruxelles. Carmen Dan, întâlnire de URGENȚĂ cu un lider UE"
1138,"Spain","2008-06-01","El Pais","Print","Extranjeros a la medida en la UE"
1139,"Hungary","2016-03-01","Magyar Idök","Print","Mindent egy lapra tett fel Angela Merkel"
1140,"Romania","2016-12-08","Romania Libera","Print","(P) Ai primit statutul de protecție internațională sau ești cetățean străin aflat cu ședere legală în România?"
1141,"Poland","2017-08-05","Gazeta Wyborcza","Print","Z tęsknoty zniszczę mój dom. Bejrut ogląda wystawę syryjskiego artysty"
1142,"Spain","2016-02-24","ABC","Print","Bélgica cierra la frontera a los refugiados expulsados de Calais;
El desmantelamiento del campamento fue suspendido por un juez a última hora"
1143,"Hungary","2016-03-12","Magyar Idök","Print","Rendőröket küldünk Macedóniába"
1144,"Germany","2016-06-08","Frankfurter Rundschau","Print","Asylheim abgebrannt"
1145,"Poland","2016-09-20","Rzeczpospolita","Print","Nadzór granic z Warszawy"
1146,"Romania","2016-09-21","Ziarul Financiar","Print","Opt migranţi care au trecut Dunărea cu o barcă au fost prinşi de poliţiştii de frontieră din Dolj. Ei încercau să ajungă în Austria"
1147,"Hungary","2015-05-20","Magyar Idök","Print","Svédország a kvótarendszer mellett"
1148,"Spain","2003-11-09","El Pais","Print","Caretas de Halloween"
1149,"Sweden","2013-03-24","Expressen","Print","Från pudelns kärna"
1150,"Germany","2014-09-22","Frankfurter Rundschau","Print","Birkenfeld fordert mehr Geld"
1151,"Romania","2016-05-24","Romania Libera","Print","Un imigrant român a fost arestat în Italia după ce a agresat doi polițiști"
1152,"Spain","2007-02-16","El Pais","Print","Los recelos de India vuelven a retrasar la repatriación de los inmigrantes del
'Marine I'"
1153,"Hungary","2016-06-12","Magyar Hirlap","Print","Argentína kész több ezer szíriai menekült befogadására"
1154,"Spain","2015-06-22","El Pais","Print","Entre mesas camilla y salones árabes"
1155,"Romania","2015-08-30","Jurnalul National","Print","Când gura miniştrilor gogomănii grăieşte"
1156,"Spain","2014-04-13","ABC","Print","«Yo compartiría con Mas un yogur y muchas copas de cava»;
«Tenemos que abordar procesos de diálogo para que las aguas vuelvan a su cauce»"
1157,"Germany","2017-10-06","Welt Online","Online","Jamaika-Gespräche;
Union und FDP schlagen Grünen Deal in Flüchtlingspolitik vor"
1158,"Hungary","2015-07-23","Magyar Hirlap","Print","Kijelölték a biztonságos államokat"
1159,"Romania","2016-09-07","Ziarul Financiar","Print","Angela Merkel a respins criticile ce vizează politicile sale privind migraţia"
1160,"Hungary","2017-09-03","Magyar Hirlap","Print","Balog Zoltán: Az elmúlt hét év eredményeinek megvédéséről lesz szó Kötcsén"
1161,"Spain","2008-11-11","El Pais","Print","Una salida para el Sáhara"
1162,"Poland","2007-04-05","Gazeta Wyborcza","Print","Poseł LPR: Testy na HIV dla obcokrajowców"
1163,"Poland","2001-12-29","Rzeczpospolita","Print","Dziennik Ustaw Nr 149 z 22 grudnia 2001 roku; Nr 150 z 24 grudnia 2001 roku"
1164,"Hungary","2016-09-29","Magyar Hirlap","Print","Lázár János: Nemzeti ügy, hogy ki él az országunkban"
1165,"Spain","2004-08-31","El Mundo","Print","Inmigrant"
1166,"Germany","2015-09-02","taz","Print","Namen und Gesichter geben ;
Willkommenskultur Der CDU-Abgeordnete Martin Patzelt erhält Hass-Mails, weil er
zwei Flüchtlinge bei sich aufgenommen hat. Angst vor den Absendern hat er aber
nicht"
1167,"Romania","2017-08-30","Evenimentul Zilei","Print","Sporul natural negativ se accentuează. O persoană activă susţine financiar un copil şi un vârstnic"
