"id","country","publication_date","source","source_type","headline"
379,"Spain","2007-05-09","ABC","Print","Interior alerta de que el terrorismo utiliza ya rutas de la droga y la
inmigración La DEA asegura que aumenta el intercambio de estupefacientes por
armas para perpetrar atentados"
380,"Spain","2003-05-06","El Pais","Print","Bruselas denuncia un recorte de derechos en la UE a favor de la seguridad tras
el 11-S"
381,"UK","2015-10-12","The Daily Telegraph","Print","Hate Tories? Angry at immigrants? The problem is you, not them;
The rallying cry of 'Tory scum', like other senseless hatreds, is a mask for
Labour's own inadequacies"
382,"Spain","2016-10-12","El Pais","Print","Los héroes que asombran a Alemania"
383,"Spain","2012-07-16","ABC","Print","Aplazan el desalojo de una nave con 300 inmigrantes"
384,"Germany","2006-05-03","Die Welt","Print","Frankreichs Premier Villepin sieht keinerlei Grund für einen Rücktritt"
385,"Germany","2012-06-20","taz","Print","SPD gegen Abschiebeknast;
GROSSFLUGHAFEN SCHÖNEFELD"
386,"Germany","2003-01-25","Frankfurter Rundschau","Print","Im Vorlaufkurs kriegen sie Deutsch auf die Reihe   ;
An der Mathildenschule werden Jungen und Mädchen fit für die Einschulung gemacht
/ Am Ende eine Beurteilung"
387,"Germany","2016-02-18","Welt Online","Online","Zuwanderung;
Ökonomen sehen eher Nachteile durch Asylbewerber"
388,"Spain","2016-11-12","El Pais","Print","La UE extiende los controles fronterizos hasta febrero"
389,"Spain","2008-02-27","El Pais","Print","La OMS alerta del riesgo de una epidemia de tuberculosis sin cura"
390,"Germany","2013-07-12","Frankfurter Rundschau","Print","Neues Wohnheim für Flüchtlinge;
Flörsheim Kreis investiert zwei Millionen Euro / Stadt stellt Grundstück zur
Verfügung"
391,"Spain","2015-04-04","El Pais","Print","Expulsados de sus vidas en 48 horas"
392,"Germany","2017-04-30","Spiegel Online","Online","Flucht in anderen Umständen"
393,"Spain","2015-11-30","El Pais","Print","La UE da 3.000 millones a Turquía para reducir la llegada de refugiados"
394,"UK","2005-01-02","Daily Mirror","Print","US BID IS REFUSED"
395,"Spain","2008-11-30","ABC","Print","La Iglesia marca el camino de ayuda a los inmigrantes en Jaén Actividad
incesante de las bases católicas ante la avalancha_En Úbeda, Cáritas ha
repartido casi medio millar de comidas"
396,"Germany","2017-02-14","taz","Print","Agentur: Bericht: UN mitschuldig an Abschiebungen;
FLÜCHTLINGE Human Rights Watch beklagt Massenabschiebungen von Pakistan nach
Afghanistan"
397,"Spain","2010-08-06","ABC","Print","Castilla y León, Murcia y Valencia desmienten problemas con los menores
inmigrantes"
398,"Germany","2017-09-18","Welt Online","Online","Aus Osteuropa;
Lastwagen mit Flüchtlingen gestoppt - neue Schleuserroute?"
399,"UK","2015-04-21","Daily Mirror","Print","Plea to restart search & rescue ops"
400,"Spain","2001-09-05","El Pais","Print","ESPANA REPLICA AL REY DE MARRUECOS QUE DEBE COMBATIR A LAS MAFIAS EN SU PAIS
EXTERIORES UTILIZA A UN SECRETARIO DE ESTADO PARA CONTESTAR A MOHAMED VI"
401,"UK","2013-02-05","The Guardian","Print","G2: Women: A certain age"
402,"Spain","2001-04-13","El Pais","Print","TENERIFE CARECE DE CENTROS PARA ATENDER A LOS 105 INMIGRANTES DETENIDOS;
  INTERCEPTADOS OTROS 49 EN LAS COSTAS ANDALUZAS"
403,"Germany","2015-11-05","taz","Print","POLITIK;
PolitikJörg Sundermeiersichtet d"
404,"Spain","2014-08-21","ABC","Print","Médicos del alma"
405,"Germany","2005-10-28","Frankfurter Rundschau","Print","Feuer in Abschiebegefängnis   ;
Elf Häftlinge auf dem Amsterdamer Flughafengelände kommen in den Flammen um /
Vorwürfe gegen Personal"
406,"Spain","2000-06-23","El Pais","Print","ESCLAVOS DEL SIGLO XXI"
407,"Germany","2015-12-11","Frankfurter Rundschau","Print","Preis für junge Vielfalt"
408,"Germany","2000-11-10","taz","Print","Weniger Asylantraege;
  in kuerze"
409,"Germany","2002-08-05","taz","Print","Demo für Einwanderer;
in kürze FRANKREICH"
410,"Spain","2003-04-03","El Pais","Print","EL EJERCITO ISRAELI DETIENE A UN MILLAR DE PALESTINOS EN UN CAMPO DE REFUGIADOS"
411,"UK","2006-10-29","Daily Mirror","Print","PROPER BURIAL FOR FAMINE MIGRANTS"
412,"UK","2016-06-20","telegraph.co.uk","Online","EU referendum: Jeremy Corbyn quizzed in live TV debate"
413,"UK","2011-04-14","telegraph.co.uk","Online","Both sides in the immigration debate are as bad as each other - we need a Third
Way"
414,"UK","2015-08-24","telegraph.co.uk","Online","France train attack: Belgium calls for review of Schengen visa-free travel zone;"
415,"Germany","2017-08-22","Frankfurter Rundschau","Print","Ein Wahlkampf fast ohne Asylpolitik"
416,"Spain","2008-12-02","ABC","Print","Inmigración Canarias se acostumbra"
417,"UK","2016-03-16","The Daily Telegraph","Print","Living wage 'will draw more migrants to UK';
Europe 2016 ; Minimum pay for young workers to rise, bringing fears of higher
shop prices, and influx from the EU"
418,"Germany","2015-09-11","Spiegel Online","Online","Tretende Kamerafrau bittet um Entschuldigung ;"
419,"UK","2005-08-24","The Guardian","Print","Applications for asylum fall"
420,"Germany","2011-11-29","taz","Print","Viele Ausländer;
KUNSTHOCHSCHULEN"
421,"Germany","2008-01-05","taz","Print","Migranten empört über Koch-Kampagne;
Zentralrat der Muslime: Fischen am rechten Rand. CDU stellt heute Konzept
gegen Jugendkriminalität vor"
422,"UK","2017-01-31","telegraph.co.uk","Online","How sacked attorney general Sally Yates responded to Jeff Sessions when asked if
she would defy Donald Trump"
423,"UK","2016-08-10","mirror.co.uk","Online","Edinburgh Fringe 2016: Top comedians Axis of Awesome, Mike Ward, Patrick
Monahan, Nath Valvo and Scott Gibson;
With the Edinburgh Fringe underway for the whole of August, Gilded Balloon is
among the venues boasting a huge line-up of top talent"
424,"Spain","2003-10-29","El Pais","Print","Interior repatriara a los inmigrantes de mas de 16 anos sin cortapisas"
425,"Spain","2008-06-16","El Pais","Print","Las nuevas medidas del Gobierno cambian las alianzas en inmigración"
426,"Spain","2008-05-03","ABC","Print","Corbacho no cree «razonable» plantear la congelación salarial"
427,"Spain","2008-01-10","ABC","Print","SECTION: ANDALUCIA"
428,"UK","2015-11-09","Daily Mirror","Print","UKIP going bust would be [...]"
429,"Spain","2017-01-25","El Pais","Print","El último 'pies secos'"
430,"UK","2015-10-21","The Guardian","Print","Right to rent scheme to be extended nationwide from February;
During six-month pilot in West Midlands, 109 people who were in Britain
illegally were identified as a result of compulsory checks on new tenants"
431,"Germany","2015-11-30","Welt Online","Online","Nach Einigung mit EU;
Türkei nimmt 1300 Flüchtlinge fest"
432,"Germany","2015-04-16","Spiegel Online","Online","Einwanderer sterben bei Krawallen - Hunderte fliehen;"
433,"Germany","2016-10-15","Welt Online","Online","Angst vor Terror;
Bürger überschwemmen Behörden mit Warnhinweisen"
434,"UK","2004-09-20","The Guardian","Print","EU revives Blunkett's asylum camp plan"
435,"Spain","2015-05-04","ABC","Print","Rajoy, a las tropas en Malí: «El terrorismo es el enemigo de todos»;
El presidente abordará hoy en Senegal nuevas medidas contra la inmigración
ilegal"
436,"Germany","2017-12-06","Welt Online","Online","Grundlage für Transparenz;
Berliner Polizisten müssen im Dienst Deutsch sprechen"
437,"Spain","2013-11-09","ABC","Print","Los traficantes torturaron a los refugiados antes de salir de Libia"
438,"UK","2016-06-22","The Guardian","Print","Trump: Hillary Clinton may be 'most corrupt person ever' to run for president;
The presumptive Republican nominee invoked familiar criticisms of Clinton's
trustworthiness and ethics Wednesday in response to her blistering attacks"
439,"Spain","2008-12-08","El Pais","Print","Varela acusa al PP de deslegitimar el voto emigrante"
440,"Germany","2001-11-03","taz","Print","Ausweisungs-Paket;
Otto-Katalog: Die Unterstützung einer gewalttätigen Vereinigung soll als
Ausweisungsgrund ausreichen"
441,"Spain","2015-10-18","El Pais","Print","Apuñalada una candidata alemana por apoyar el asilo"
442,"Germany","2015-10-18","Spiegel Online","Online","Navid Kermani fordert mehr Einsatz gegen Syrienkrieg;"
443,"Germany","2014-03-21","Welt Online","Online","Grenzfälle;
Flüchtlinge stehen jetzt auch auf der Bühne"
444,"Spain","2016-05-18","El Pais","Print","Sarkozy: Lo peor sería que entrara Turquía y saliera Reino Unido"
445,"Germany","2010-10-12","Frankfurter Rundschau","Print","Integration ist ein Dauerthema;
Muhammet Kalpakci hofft auf stärkere Beteiligung / 14,7 Prozent stimmten 2005 ab"
446,"Spain","2001-04-13","El Pais","Print","CC OO DENUNCIARA POR AMENAZAS A LOS DOS EMPRESARIOS QUE EXPLOTABAN A 14 'SIN
PAPELES';
 EL JUZGADO DE INSTRUCCION NUMERO CUATRO DE BARAKALDO INSTRUYE LAS DILIGENCIAS
PREVIAS"
447,"UK","2007-06-14","The Daily Telegraph","Print","The rousing sound of opera from the streets"
448,"Germany","2017-09-26","Welt Online","Online","Bayerischer Flüchtlingsrat befürchtet schärfere Asylpolitik"
449,"Spain","2012-08-23","ABC","Print","El Gobierno admite un repunte en la llegada de inmigrantes en patera;
Almería recibe otros 53 indocumentados interceptados en dos embarcaciones"
450,"Spain","2006-07-09","El Pais","Print","Un héroe que se convirtió en el comandante de los inmigrantes"
451,"Spain","2008-01-03","ABC","Print","Los inmigrantes censados crecen un 23,4% durante 2007 La mayor subida la
experimentaron los súbditos rumanos con un 91% _ A nivel global, Lucena sumó
1.000 habitantes más"
452,"Spain","2003-07-04","El Pais","Print","Alcarras quiere que se investigue la llegada de inmigrantes"
453,"UK","2003-08-13","Daily Mirror","Print","FANCY A PINT OF THE SEXY STUFF;
 FOREIGNERS CLAIM EXTRA-STRONG GUINNESS IS LIKE LIQUID VIAGRA"
454,"UK","2008-04-03","Daily Mirror","Print","LABOUR: WE'LL BREAK UP ISLAMIC GHETTOS;
EXCLUSIVE MINISTER SPEAKS OUT ON 'NO-GO' AREAS FOR WHITES"
455,"Spain","2005-01-19","El Pais","Print","Marruecos solo ha aceptado la devolucion de 106 subsaharianos irregulares desde
1992"
456,"UK","2016-01-28","The Guardian","Print","Rights groups criticise Europe refugee resettlement plan;
Dutch Labour leader proposes that resettlement would be in exchange for Turkey
taking back migrants expected to land on Greek shores this year"
457,"Spain","2015-10-20","El Pais","Print","La policía israelí investiga la muerte de un eritreo apaleado"
458,"Spain","2006-06-01","El Mundo","Print","Mas de 300 'sin papeles' arriban a las costas espanolas."
459,"Spain","2003-11-19","El Pais","Print","El PA propone crear un consejo internacional sobre la inmigracion"
460,"Germany","2016-02-10","Frankfurter Rundschau","Print","Hetze gegen Hessenpark"
461,"UK","2000-02-11","The Guardian","Print","Misery of immigrants 15 to a cell in Italy's jails;
Despite official promises of reform following violent protests, conditions
remain squalid for the 'guests' of Sicily's reception centre"
462,"UK","2016-05-17","mirror.co.uk","Online","The BBC replaced a Eurovision tribute to refugees with a clip of Mel Giedroyc
eating meatballs;
A Syrian refugee has spoken of his shock that the BBC chose to ignore a dance
about refugees in favour of a sketch about meatballs"
463,"Spain","2008-02-09","El Pais","Print","Falsas amistades"
464,"Germany","2017-06-15","Welt Online","Online","LKA;
2016 gab es erstmals mehr Kriminalität in MV"
465,"UK","2012-11-24","The Daily Telegraph","Print","Rule change could see property prices take off in Jakarta"
466,"Germany","2017-02-17","Welt Online","Online","Asyl von Christen;
Bosbach kritisiert Kopftuch-Praxis beim BAMF"
467,"UK","2012-05-09","The Guardian","Print","Leading article: Simpler and uglier: Rise of the far right"
468,"Spain","2005-06-29","El Pais","Print","El Gobierno destina 68 millones al plan de Inmigracion"
469,"Germany","2006-08-14","Spiegel Online","Online","Israel warnt Flüchtlinge vor Rückkehr"
470,"Spain","2004-02-04","El Mundo","Print","La ONG Manos Unidas batalla en 58 paises contra la globalizacion de la
pobreza.
La organizacion espanola presenta su nueva campana con testimonios sobre el
genocidio de los anuak de Etiopia, los ninos de la calle indios y la situacion
en las 'favelas' brasilenas."
471,"UK","2004-12-13","The Guardian","Print","White House search for new security chief"
472,"Spain","2007-02-15","El Mundo","Print","Los policias enviados a Mauritania denuncian el trato vejatorio que han
recibido de Interior.
Critican el abandono del Gobierno cuando fueron a identificar a los inmigrantes
del 'Marine I' Rajoy estima intolerable que se haya dejado a 100 agentes
durmiendo de mala manera en Nuadibu."
473,"Germany","2004-10-16","taz","Print","Asylstatus gefährdet;
in kürze IRAKER UND AFGHANEN"
474,"Germany","2014-08-06","taz","Print","Der Anarchist;
PORTRAIT"
475,"Germany","2011-11-15","Frankfurter Rundschau","Print","300 Arbeiter für einen Piloten;
Unbescholtene werden zum Spielball russischer und tadschikischer Ränke"
476,"UK","2014-11-22","mirror.co.uk","Online","Does immigration bring crime to the UK?;
Despite the doomsday predictions that opening the borders to Romanian and
Bulgarian migrants in January 2013 would lead to an increase in crime, the
opposite appears to have happened."
477,"Spain","2007-02-16","El Pais","Print","Los recelos de India vuelven a retrasar la repatriación de los inmigrantes del
'Marine I'"
478,"Spain","2015-11-09","El Pais","Print","Un proceso lleno de recelos y dificultades"
479,"Germany","2002-11-06","taz","Print","Notbremse vor Kita-Chaos;
Kita-Träger erheben schwerste Bedenken gegen Gutscheinsystem des Senats.
Behörden-Szenario nennt etwa 20.000 veränderte Bewilligungen. Befürchtung:
Kinder von Arbeitslosen und MigrantInnen werden die VerliererInnen sein"
480,"Germany","2015-09-07","Frankfurter Rundschau","Print","Schnell statt bürokratisch"
481,"Spain","2008-07-22","ABC","Print","Traoré clama por un modelo de desarrollo propio para África La líder malí cree
que existe «manipulación y mentiras» a la hora de explicar el fenómeno de la
globalización _ La autora abrió el Aula de Verano de La Gomera"
482,"Germany","2006-09-08","taz","Print","Ratgeber: Mit Erfolg nach Europa;
In Senegal gibt eine Website fantasievolle Anleitungen, wie Afrikaner mit
Geschick ihren Weg nach Spanien oder Frankreich machen können - mit Nennung der
Erfolgsquote"
483,"Germany","2014-04-15","Frankfurter Rundschau","Print","Eritreern droht Rückkehr"
484,"Germany","2005-08-26","Frankfurter Rundschau","Print","WASG will ins Stadtparlament   ;
Dietzenbacher Ortsverband nimmt Kurs auf die Kommunalwahlen"
485,"UK","2011-06-21","The Guardian","Print","Analysis A step closer to illegitimacy"
486,"Germany","2015-08-17","Welt Online","Online","Princess of Finkenwerder GmbH;
Til Schweigers schwieriger Flüchtlingsheim-Partner"
487,"UK","2015-09-28","The Guardian","Print","Undecided voters like how Corbyn talks - but don't like what he says;
The new Labour leader is no great advocate of focus groups, but he might be
interested in how he's perceived on the economy and immigration"
488,"Germany","2015-09-17","taz","Print","Die Profi-Helferin;
Am Samstag in der Taz"
489,"Germany","2015-06-10","Frankfurter Rundschau","Print","Mehrere Verletzte nach Streit in Flüchtlingsheim"
490,"Germany","2015-07-02","taz","Print","Flüchtlinge abwehren um jeden Preis;
Abschottung Ungarn, Serbien und Österreich unterzeichnen Memorandum über
Grenzpatrouillen"
491,"Germany","2017-11-04","Welt Online","Online","Über Zaun geklettert;
17 Jahre alter Asylbewerber versetzt Flughafen Frankfurt in Aufregung"
492,"Germany","2016-09-13","Spiegel Online","Online","Luxemburgs Außenminister fordert EU-Ausschluss von Ungarn"
493,"Spain","2016-09-05","ABC","Print","MAZAZO A MERKEL"
494,"Germany","2013-05-03","taz","Print","Es geht vor allem um Handel und Drogen;
USA Barack Obama besucht Mexiko und Costa Rica. Mexiko ist das zweitwichtigste
Exportland der USA"
495,"Germany","2015-11-20","Spiegel Online","Online","Die verunsicherten Staaten von Amerika;"
496,"Spain","2015-09-16","ABC","Print","CULTURA DE BIENVENIDA"
497,"Spain","2011-10-19","El Mundo","Print","Emigrar"
498,"Spain","2004-05-23","El Pais","Print","Interceptados 33 marroquies a bordo de una patera localizada cerca de Motril"
499,"Spain","2015-02-10","El Pais","Print","Una extraña alianza contra Washington"
500,"Spain","2006-07-20","El Pais","Print","Los apestados del mar"
501,"UK","2000-06-21","Daily Mirror","Print","DEAR JO: READERS LETTERS"
502,"Spain","2009-06-02","ABC","Print","Clinton afirma que con Cuba «hemos avanzado mucho más que en años» Mauricio
Funes anuncia en su toma de posesión el «inmediato» restablecimiento de
relaciones diplomáticas con La Habana"
503,"UK","2014-11-06","The Daily Telegraph","Print","Northerners are taking the road south"
504,"Spain","2006-06-15","El Pais","Print","La policia libera a dos menores secuestrados hace 20 dias en Almeria"
505,"Spain","2016-11-22","El Mundo","Print","Anuncia medidas para proteger a los inmigrantes"
506,"Germany","2017-07-29","Frankfurter Rundschau","Print","Verwirrung über Anti-Schleuser-Mission"
507,"Germany","2005-12-08","taz","Print","Sichtbar machen;
Von verschwundenen Tagelöhnern, rassistischen Arbeitsmärkten, Muscheln und
Fußballfans: Noch bis zum 21. Dezember laufen im 3001 Kino die 17.
lateinamerikanischen Filmtage"
508,"Germany","2017-06-09","Frankfurter Rundschau","Print","Zentren entlasten"
509,"UK","2014-01-12","telegraph.co.uk","Online","Stuck in the EU club, but chafing at its rules;
David Cameron believes it is possible to reform the EU from within. But he
should keep the weapon of leaving the union close to hand"
510,"Germany","2016-01-20","Frankfurter Rundschau","Print","Vom Campus ins Flüchtlingsheim"
511,"UK","2007-06-29","Daily Mirror","Print","PM SHOULD HEED GREAT VISION OF HIS HERO RFK;
VOICE OF THE DAILY MIRROR PRIME MINISTER BROWN: DAY 1"
512,"UK","2013-10-29","The Daily Telegraph","Print","Illegal immigrant jailed for rape after judges let him stay in Britain"
513,"Germany","2015-02-16","Welt Online","Online","Rassismus;
Warum kriegt der Asiate keine Gratis-Zeitung?"
514,"Spain","2016-03-21","El Pais","Print","Grecia necesita 4.000 expertos para garantizar los retornos"
515,"UK","2003-06-29","Daily Mirror","Print","GREAT ASYLUM COVER-UP"
516,"Spain","2010-12-07","ABC","Print","RELACIONES CON MARRUECOS Llegan a Melilla cuatro inmigrantes por una tubería de
una depuradora"
517,"Spain","2011-02-21","El Mundo","Print","Trípoli intenta silenciar a la UE"
518,"Germany","2017-10-06","Welt Online","Online","Tillich;
Keine Stoppschilder bei konservativen Positionen"
519,"Spain","2002-08-18","El Pais","Print","NEGREROS EN CANARIAS"
520,"UK","2015-07-01","Daily Mirror","Print","Fast-track asylum bids"
521,"Germany","2016-09-15","taz","Print","Mit erweitertem Blick;
Wahl In Berlin ist es längst Alltag: KandidatInnen mit Migrationshintergrund
bewerben sich um Mandate auf Landes- und Bezirksebene. Aber welche Rolle spielt
ihre Herkunft?"
522,"UK","2010-01-11","The Guardian","Print","International: Foreign workers forced to flee Italian town: Crop-pickers beaten
and shot by locals after riot: Last immigrants removed for own protection"
523,"Germany","2010-07-31","taz","Print","Das leere Lager;
ZUWANDERUNG Immer weniger Menschen durchschreiten das Tor zur Freiheit - das
Durchgangslager Friedland. Politiker debattieren nun über die künftige Nutzung"
524,"Spain","2014-12-28","El Pais","Print","Mamá, quiero quedarme en España"
525,"Spain","2011-03-18","El Mundo","Print","Cáritas detecta en sus centros un aumento de redadas de inmigrantes"
526,"Spain","2010-08-09","El Pais","Print","La llegada de pateras a la costa alicantina se repite por cuarto año"
527,"Germany","2014-03-19","Frankfurter Rundschau","Print","Özoguz dringt auf schnellen Kompromiss"
528,"Germany","2006-05-03","Die Welt","Print","Gefährlich verzagt;
Gastkommentar Den Deutschen fehlt der Selbstrespekt / Von Cora Stephan"
529,"Spain","2008-07-13","ABC","Print","El Consell exige al Gobierno que evite una nueva ruta de pateras con escala en
Alicante Desde el pasado año han llegado medio centenar de inmigrantes y dos
lanchas vacías pero todavía no hay radares fijos"
530,"Spain","2006-02-16","El Pais","Print","Las asociaciones mayoritarias de marroquies y chinos, excluidas del Foro de la
Inmigracion"
531,"UK","2013-09-06","The Daily Telegraph","Print","Blaming immigration;
Letters to the Editor"
532,"Spain","2015-08-04","El Pais","Print","Reino Unido obliga a los caseros a expulsar a los sin papeles"
533,"Germany","2012-11-01","taz","Print","Flüchtlingsdrama im Golf von Bengalen;
BIRMA/BANGLADESCH"
534,"Germany","2013-07-24","Welt Online","Online","Gepäckträger-Projekt;
Flüchtlinge und Partner enttäuscht über Bahn-Absage"
535,"Spain","2013-11-30","ABC","Print","Miles de niños sirios viven sin sus padres en campos del Líbano;
Casi la mitad de las familias de refugiados dependen del dinero aportado por
menores"
536,"UK","2003-02-07","The Guardian","Print","Blunkett excludes asylum seekers from seven more countries"
537,"Germany","2006-05-15","Spiegel Online","Online","Hirsi Ali verlaesst die Niederlande"
538,"UK","2013-08-09","Daily Mirror","Print","UK population goes up by 1,150 EVERY DAY;
63.7m now living here ; Fastest growth in EU"
539,"Spain","2008-06-04","El Mundo","Print","ESPAÑA EN CRISIS / Análisis de las consecuencias / EXTRANJEROS EN EL INEM /
+100.035;
El mercado castiga a los inmigrantes"
540,"UK","2007-12-12","The Daily Telegraph","Print","Migrant mothers fuel baby boom 21% of births to women from overseas, official
figures show"
541,"Spain","2008-09-26","El Pais","Print","Pacto para los 'sin papeles'"
542,"UK","2008-09-19","Metro","Print","MAILMETRO;
The pains in Spain"
543,"UK","2014-09-06","telegraph.co.uk","Online","Major disturbance at immigration centre after detainee's death;
A major disturbance has broken out at the Morton Hall centre in Swinderby,
Lincs, after the death of a detainee"
544,"Spain","2005-08-03","El Pais","Print","Una decena de bebes y dos embarazadas llegan a Tarifa en una patera"
545,"UK","2016-05-31","The Guardian","Print","David Cameron's EU warning not scaremongering, says ex-ambassador;
French likely to review border treaty if Britain leaves EU, says Sir Peter
Ricketts"
546,"UK","2015-04-24","telegraph.co.uk","Online","'Smuggler captain' accused over worst Mediterranean sinking appears in court;
27-year-old Tunisian suspected of sinking smuggler boat on which 800 drowned is
in court in Sicilty, where judge is due to decide whether to confirm his arrest"
547,"UK","2013-02-16","telegraph.co.uk","Online","Theresa May: I'll bring in new law to end human rights farce;
A new law to stop foreign criminals avoiding deportation by having their claims
to the human right to a family life backed by courts is to be made, in a
victory for The Sunday Telegraph."
548,"Germany","2014-09-22","Frankfurter Rundschau","Print","Birkenfeld fordert mehr Geld"
549,"Spain","2008-07-22","ABC","Print","El 41,1% de los incendios forestales en Andalucía se deben a negligencias"
550,"Germany","2017-01-05","Welt Online","Online","CSU-Klausur;
Laut Frontex 43 Prozent abgelehnte Migranten nicht abgeschoben"
551,"Spain","2003-06-27","El Mundo","Print","La Liga Norte arrastra al Gobierno italiano hacia la crisis.
Los ministros de Bossi atacan a los de Forza Italia a causa de la inmigracion y
las pensiones."
552,"UK","2012-10-24","Daily Mirror","Print","Not sure I'm in love enough to emigrate"
553,"Germany","2009-11-19","Frankfurter Rundschau","Print","Hassan E. lebt weiter in der Schwebe;
Für die Hofheimer Ausländerbehörde ist der Kontakt zu Vereinen ein Prüfstein der
Integration"
554,"Germany","2016-12-23","Welt Online","Online","Fall Amri;
Berlin zeigt mit dem Finger auf Nordrhein-Westfalen"
555,"Germany","2015-07-27","taz","Print","Agentur: Mehr Geld für Flüchtlinge;
Hilfe für Asylbewerber, die vor"
556,"UK","2013-09-08","telegraph.co.uk","Online","UN warns of crisis as Syrian refugees pour into Jordan;
Aoife McDonnell, from the United Nations High Commission for Refugees, says the
vast Zaatari camp now holds about 120,000 people, making it the fourth biggest
city in Jordan."
557,"Spain","2002-06-18","El Mundo","Print","El Gobierno ha dictado 20.202 expulsiones de inmigrantes en 2002"
558,"Germany","2001-06-05","taz","Print","Beck sieht Bedarf;
in kürze"
559,"UK","2017-03-01","The Guardian","Print","Fast-food chains barred from using foreign workers on 457 visas;
Peter Dutton announces end to labour agreement as part of crackdown on visa
regulations, saying 'Australian workers... must be given priority'"
560,"UK","2017-07-28","telegraph.co.uk","Online","Philip Hammond claims 'literally nobody' wants a post-Brexit migration
'cliff-edge'"
561,"UK","2000-04-20","Daily Mirror","Print","BISHOP: WE'RE NO RACISTS"
562,"Germany","2005-12-17","Frankfurter Rundschau","Print","Formfehler   ;
Ausländerbeirat muss Wahl wiederholen"
563,"Germany","2001-09-27","taz","Print","Totgeschwiegen"
564,"Germany","2006-04-21","Die Welt","Print","Parteien überdenken ihre Ausländerpolitik;
GAL fordert generelle Bleiberechtsregelung - CDU-Innenexperte Jäger: Zeit
allein kann kein Kriterium für Bleiberecht sein"
565,"UK","2016-12-16","The Guardian","Print","Len McCluskey: Unite must fight for end of free movement;
Union's general secretary suggests controls on immigration would help stability
in communities as he launches re-election bid"
566,"Germany","2011-05-10","Spiegel Online","Online","Sportministerin entlastet Blanc"
567,"Germany","2015-03-11","Frankfurter Rundschau","Print","Unterstützung beim Neustart"
568,"Spain","2009-07-05","ABC","Print","El limbo de los refugiados"
569,"Spain","2014-06-16","ABC","Print","El Papa anuncia un viaje a Albania el 21 de septiembre"
570,"Germany","2005-11-26","Die Welt","Print","Chroniken des Scheiterns;
Wie Einwanderung funktioniert / Von Niall Ferguson"
571,"Spain","2002-01-03","El Pais","Print","LA ENTRADA DE CUBANOS POR BARAJAS PARA QUEDARSE EN ESPANA SE TRIPLICA EN CUATRO
MESES;
 LA COMISARIA DEL AEROPUERTO MADRILENO HA TRAMITADO 1.715 SOLICITUDES DE ASILO
DESDE SEPTIEMBRE"
572,"Spain","2000-04-20","El Pais","Print","UN TRIBUNAL RETIENE A ELIAN EN EE UU PARA DECIDIR SOBRE SU ASILO"
573,"Spain","2009-08-10","ABC","Print","Inmigración ilegal «Operación feriante»"
574,"Spain","2003-10-04","El Pais","Print","El granero de la emigracion marroqui"
575,"Spain","2006-05-15","El Mundo","Print","Interceptados 974 subsaharianos en Canarias en tan solo tres dias.
El Gobierno regional califica la situacion de gravisima y acusa al Ejecutivo
de dejadez - La mayoria son senegaleses y hay 33 menores."
576,"Germany","2015-08-25","Welt Online","Online","Völkerwanderung;
Flüchtlinge sollten gerade in den deutschen Osten"
577,"UK","2008-10-27","The Daily Telegraph","Print","Why Hallowe'en gives me a haunted look;
It's not satanism, but the commercialism that frightens the life out of
Cassandra Jardine"
578,"UK","2010-07-02","The Daily Telegraph","Print","South Africa braced for strife after World Cup"
579,"Spain","2005-03-31","El Mundo","Print","El INE revisa la EPA y contabiliza 152.200 parados mas en 2004 por la
inmigracion.
La poblacion total de Espana asciende a cerca de 44 millones, de los que un 8%
son extranjeros."
580,"Germany","2002-02-22","taz","Print","Interniert im Ferienparadies;
Auf den Kanarischen Inseln werden Boat-People aus Afrika unter unmenschlichen
Bedingungen festgehalten - in alten Gebäuden jener Flughäfen, wo die
Sonnentouristen aus Europa landen"
581,"UK","2002-02-08","Daily Mirror","Print","BLUNKETT TO WAGE WAR ON ASYLUM WEDDINGS"
582,"Germany","2015-02-12","taz","Print","Abschreckung vom unsicheren Zielland;
DEUTSCHLAND Die Anträge auf Asyl von Kosovaren steigen sprunghaft. Quer durch
die Parteien fordern Politiker daher, Kosovo als sicheres Land einzustufen"
583,"UK","2005-10-26","The Guardian","Print","Society: Living for today: People from all over the world are now squatting in
empty 'des res' properties in the UK to avoid cripplingly high rents in urban
centres"
584,"Spain","2016-03-24","El Pais","Print","Rajoy rechaza la propuesta de Colau para acoger asilados"
585,"UK","2012-04-25","The Daily Telegraph","Print","Hollande makes his pitch for the millions who voted for Le Pen"
586,"UK","2008-05-06","Metro","Print","MORE FIRMS FINED OVER ILLEGAL WORKERS"
587,"Spain","2006-05-05","El Pais","Print","Otros tiempos?"
588,"UK","2007-11-08","The Guardian","Print","Comment & Debate: Bring on the conspiracy: The Tories have stolen a march on the
internet. It's time for left-liberals to get organised online"
589,"UK","2017-02-20","telegraph.co.uk","Online","Donald Trump's 'last night in Sweden' comment reference to Fox News story on
immigrants, president claims"
590,"UK","2015-12-30","The Guardian","Print","2016's new TV comedy: Cooper Barret's Guide to Surviving Life and Bordertown;
Two new comedies are coming to Fox: one is an animated show about race and the
other is about bros behaving badly - and neither are exactly hilarious"
591,"Germany","2007-09-24","taz","Print","IMMER WIEDER SYKE"
592,"Germany","2015-09-25","Frankfurter Rundschau","Print","Notquartier in Halle voll belegt"
