"id","country","publication_date","source","source_type","headline","headline_mt","m_fr_eco","m_fr_lab","m_fr_wel","m_fr_sec"
416,"Spain","2014-08-13","El Mundo","Print","Andalucía pide más apoyo a la UE ante la emergencia","Andalusia asks  more support  to the EU before the  emergency",1,0,1,0
417,"Poland","2008-07-30","Rzeczpospolita","Print","Prawo bardziej przyjazne cudzoziemcom","The law more friendly to foreigners",0,0,0,0
418,"UK","2016-10-14","Daily Mirror","Print","UK frets about immigration most","UK frets about immigration most",0,0,0,1
419,"Hungary","2016-06-27","Magyar Hirlap","Print","Soros: Az unió szétesése elkerülhetetlen","Soros: The Union's disintegration is inevitable",0,0,0,0
420,"Hungary","2016-10-25","Magyar Idök","Print","Migránsok gyújtogattak a leszboszi Morián","Migrants set fires Mori of Lesbos",0,0,0,1
421,"Germany","2017-11-27","Welt Online","Online","Premier vs. Starinvestor;
Orbán forciert Verschwörungs-Kampagne gegen Soros","Premier Vs. Star Investor;
Orbán pushes conspiracy campaign against Soros",1,0,0,0
422,"Romania","2015-07-17","Romania Libera","Print","Oficial UE, apel pentru încetarea discriminării romilor","EU official calls for an end to discrimination against Roma",1,1,1,0
423,"Sweden","2002-02-07","Dagens Nyheter","Print","Hotade kvinnor. Brist på kulturell kunskap","Hated women.  Lack of cultural knowledge",0,0,1,0
424,"Poland","2004-06-01","Gazeta Wyborcza","Print","Ostatni obóz dla uchodźców z Czeczenii zostanie zamknięty","The last camp for refugees from Chechnya will be closed",0,1,1,0
425,"Romania","2013-01-18","Ziarul Financiar","Print","Ziarul britanic The Independent: Migraţia este bună pentru economie. Opriţi demonizarea românilor şi bulgarilor","British newspaper The Independent: Migration is good for the economy. Stop demonizing Romanians and Bulgarians",1,1,1,1
426,"Hungary","2017-06-22","Magyar Idök","Print","Megkezdődött a bíróságon a halálkamionper","The court began the halálkamionper",0,0,0,1
427,"Sweden","2015-03-13","Svenska Dagbladet","Print","Grekland tonar ner hot om fri lejd","Greece shines down the threat of free hiding",0,0,1,0
428,"Poland","2005-11-20","Gazeta Wyborcza","Print","Francja po „buncie przedmieść","France after the subversion of the rebellion",0,1,1,1
429,"Spain","2006-04-21","El Pais","Print","Detenido en EE UU un espanol por el secuestro de dos empresarios en Georgia","Arrested in the US for the kidnapping of two businessmen in Georgia",0,0,0,1
430,"Romania","2017-12-30","Ziarul Financiar","Print","Fostul primar al Constanţei, Radu Mazăre, ar fi plecat în Madagascar, unde a cerut azil politic","Former mayor of Constanta, Radu Peas, had fled to Madagascar, where he requested asylum policy",0,0,0,1
431,"Romania","2017-01-31","Ziarul Financiar","Print","Donald Trump l-a concendiat pe Procurorul General al Statelor Unite pentru că nu a fost de acord cu interdicţia privind imigranţii","Trump concendiat the Attorney General of the United States did not agree with the ban on immigrants",0,0,0,0
432,"Hungary","2016-07-30","Magyar Hirlap","Print","Zendülések Kiskunhalason","Riots in Kiskunhalas",0,0,0,1
433,"Hungary","2016-02-29","Magyar Hirlap","Print","Drámai a helyzet Görögországban","The dramatic situation in Greece",0,0,0,0
434,"Hungary","2017-06-17","Magyar Hirlap","Print","Embercsempészetért 27 ember ellen emeltek vádat a horvát hatóságok","Embercsempészetért indicted 27 people on the Croatian authorities",0,0,0,1
435,"Hungary","2017-12-09","Magyar Hirlap","Print","Tusk: A kötelező kvóta hatástalan","Tusk: A mandatory quota ineffective",1,0,0,0
436,"UK","2016-12-13","mirror.co.uk","Online","Labour's stance on EU immigration is not sustainable, says party's Brexit
spokesman Keir Starmer;
Keir Starmer says Labour must change its stance on freedom of movement in the
wake of the Brexit vote","Labour's stance on EU immigration is not sustainable, says party's Brexit
spokesman Keir Starmer;
Keir Starmer says Labour must change its stance on freedom of movement in the
wake of the Brexit vote",0,1,0,0
437,"Romania","2015-09-24","Romania Libera","Print","GALERIE FOTO. Președintele Iohannis, la summit-ul de la Bruxelles","PHOTO GALLERY. President Johannis summit in Brussels",0,0,0,1
438,"Romania","2016-08-02","Ziarul Financiar","Print","Ambasadorul turc: Negocierile UE-Turcia continuă, acordul privind migranţii ar putea fi afectat","Turkish Ambassador: EU-Turkey negotiations continue, agreement on migrants could be affected",0,1,0,0
439,"Romania","2013-08-09","Ziarul Financiar","Print","Serviciul secret de e-mail al lui Edward Snowden a fost închis","Secret Service email of Edward Snowden was closed",0,0,0,1
440,"Germany","2015-09-16","Spiegel Online","Online","Opfer der tretenden Kamerafrau bekommt Job in Spanien;","Victim of the kicking camerawoman gets job in Spain;",0,1,0,0
441,"Germany","2010-09-24","Spiegel Online","Online","Die neue schwedische Farbenlehre","The new Swedish color theory",1,0,1,0
442,"Sweden","2010-08-26","Dagens Nyheter","Print","Minst 72 föll offer för maffian i ny massaker","At least 72 fell victims of the mafia in new massacre",0,0,0,1
443,"Germany","2015-10-15","Welt Online","Online","Flüchtlinge;
Norwegen klärt Asyl-Anspruch in maximal zwei Tagen","Refugees;
Norway clears asylum claim in a maximum of two days",0,0,0,0
444,"Spain","2014-01-26","El Pais","Print","Trabajador pobre","Poor worker",0,1,0,0
445,"UK","2015-11-27","telegraph.co.uk","Online","State visit to Malta: Queen hints to sceptical leaders that Prince should be
next Head of the Commonwealth;
Dictators, despots and avowed republicans prepare to meet the Queen as she
attends a summit in Malta","State visit to Malta: Queen hints to sceptical leaders that Prince should be
next Head of the Commonwealth;
Dictators, despots and avowed republicans prepare to meet the Queen as she
attends a summit in Malta",0,0,0,0
446,"Sweden","2005-09-14","Svenska Dagbladet","Print","Mp ratar senaste budgetbudet","Mp ratifies latest budget bid",1,0,1,0
447,"UK","2016-08-22","The Guardian","Print","The claim that locking asylum seekers up in Nauru and PNG saves lives is bogus;","The claim that locking asylum seekers up in Nauru and PNG saves lives is bogus;",1,1,0,1
448,"Germany","2014-05-12","taz","Print","Im Bild beerdigen;
Senatsempfang Die Therapieeinrichtung Refugio wird für 25 Jahre Arbeit mit
Flüchtlingen geehrt HEUTE IN BREMEN","Bury in the picture ;
Senate reception The therapy facility  Refugio  will work for 25 years
Refugees honored TODAY IN BREMEN",0,1,0,0
449,"UK","2017-09-21","telegraph.co.uk","Online","Theresa May's Brexit speech in Florence- what to expect, and how the EU will
react","Theresa May's Brexit speech in Florence- what to expect, and how the EU will
react",0,0,0,0
450,"Germany","2016-03-10","Frankfurter Rundschau","Print","Der Wolf ist zurück","The wolf is back",0,0,0,0
451,"Sweden","2003-07-15","Aftonbladet","Print","Lasermannen var inte ensam","The laser man was not alone",0,0,0,0
452,"Sweden","2015-11-27","Svenska Dagbladet","Print","Asylboende pressas av smugglare","Asylum residents are pushed by smugglers",0,0,1,1
453,"Sweden","2001-08-26","Aftonbladet","Print","Han halshögg sina anhöriga","He threw his relatives",0,0,0,1
454,"Germany","2014-12-17","Welt Online","Online","Anschlag in Vorra;
Kripo-Profiler sollen Brandstifter überführen","Stop in Vorra;
Kripo profilers are to convict arsonists",0,0,1,0
455,"Romania","2010-04-29","Romania Libera","Print","Păun: Migraţia romilor în UE a afectat imaginea României","Peacock: Migration of Roma in the EU affect Romania's image",1,0,0,0
456,"Hungary","2015-07-01","Magyar Hirlap","Print","Stratégiai választ várnak a migrációra","Waiting for a strategic response to migration",0,1,0,1
457,"Poland","2014-10-01","Gazeta Wyborcza","Print","Cameron obiecuje ludowi ca³¹ górê prezentów","Cameron promises the people the whole mountain of presents",0,1,1,0
458,"Romania","2017-01-26","Romania Libera","Print","Percheziţii de amploare în cinci judeţe şi în Bucureşti. Poliiştii au descins la domiciliile unor suspecți de trafic de migranți","Extensive searches in five counties and in Bucharest. Police officers raided the homes of suspected trafficking in migrants",0,0,0,1
459,"Germany","2014-09-25","Frankfurter Rundschau","Print","Minister will mündige Schüler","Minister wants mature students",0,0,1,0
460,"Sweden","2012-11-06","Dagens Nyheter","Print","Asylsökande barn får skolmat","Asylum-seeking children receive school meals",0,0,1,0
461,"Germany","2014-11-22","taz","Print","55;
Betr.: Zahlen zur Flucht","55;
Re: numbers to escape",0,0,1,0
462,"Spain","2015-11-11","El Pais","Print","La Comisión considera altamente problemáticas las medidas clave","The Commission considers  highly problematic  the key measures",0,0,0,0
463,"Romania","2016-03-09","Ziarul Financiar","Print","Popularitatea lui Merkel atinge cel mai mare procent de susţinere din partea germanilor din 2016","Merkel's popularity reaches highest percentage of support from the German 2016",0,0,0,0
464,"Hungary","2015-02-03","Nepszabadsag","Print","A megélhetésiek","The megélhetésiek",0,0,0,0
465,"Spain","2013-08-27","El Mundo","Print","Cuba impidió que Snowden llegara a Latinoamérica","Cuba prevented Snowden from reaching Latin America",0,0,0,0
466,"Romania","2012-06-28","Romania Libera","Print","Germania: Un alt muncitor român a murit când fura haine dintr-un container","Germany: Another Romanian worker died when stealing clothes from a container",0,1,0,1
467,"Spain","2017-04-27","El Pais","Print","Bruselas advierte a Hungría por su ley contra la universidad de Soros","Brussels warns Hungary for its law against Soros University",0,0,0,0
468,"Hungary","2016-12-08","Magyar Hirlap","Print","Menekültügyi szigorítások Németországban","Asylum restrictions in Germany",0,0,1,1
469,"Germany","2012-09-13","Frankfurter Rundschau","Print","Sonst hätte es keinen interessiert;
Vier Wochen in einem hessischen Asylbewerberheim: Eine packende Doku in der ARD","Otherwise it would not have interested anyone;
Four weeks in a Hessian asylum home: A gripping documentary on the ARD",0,1,1,0
470,"Romania","2004-05-27","Ziarul Financiar","Print","Germania adoptă legea imigraţiei calificate","Germany adopted  immigration qualified",0,1,0,1
471,"UK","2013-11-12","The Daily Telegraph","Print","Roma migrants could cause riots in cities, warns Blunkett","Roma migrants could cause riots in cities, warns Blunkett",1,0,0,1
472,"Spain","2016-12-28","El Pais","Print","El PP quiere que los inmigrantes respeten los valores europeos","The PP wants immigrants  to respect European values ​​",0,1,1,0
473,"Poland","2017-03-20","Rzeczpospolita","Print","Sprawę uchodźców z Kaukazu rozstrzygnie sąd","The case of refugees from the Caucasus will be settled by the court",0,0,0,0
474,"Hungary","2017-04-27","Magyar Hirlap","Print","Kontrát Károly: Jól működik a jogi határzár","Charles counterattacks: the legal closing of borders works well",0,0,0,1
475,"Poland","2016-02-02","Rzeczpospolita","Print","Polak nieufny wobec UE","Pole wary of EU",0,0,0,0
476,"Sweden","2001-10-24","Expressen","Print","LIBERAL 011024. Välfärdens mörka vrår","LIBERAL 011024. The welfare darkness of the welfare",0,0,0,0
477,"Hungary","2017-10-20","Magyar Hirlap","Print","Tusk: Valódi esély van a földközi-tengeri migrációs útvonal lezárására","Tusk: Real chance for Mediterranean Migration closure of routes",0,0,0,1
478,"UK","2017-08-11","The Guardian","Print","Refugee rescue ship sails to aid of anti-migrant activists stranded in Med;
German NGO says its rescue vessel is sailing to help a group of anti-immigration
activists after their ship got into trouble off the coast of Libya","Refugee rescue ship sails to aid of anti-migrant activists stranded in Med;
German NGO says its rescue vessel is sailing to help a group of anti-immigration
activists after their ship got into trouble off the coast of Libya",0,0,0,1
479,"Hungary","2015-09-12","Nepszava","Print","És még","And even",0,0,0,1
480,"Romania","2008-12-02","Ziarul Financiar","Print","6 mil. euro de la CE in cadrul Fondului european de returnare","6 mil. Euros from the European Return Fund",1,0,0,0
481,"Sweden","2002-10-11","Dagens Nyheter","Print","Flyktingar/Tiina Meri: Hyckleri som hotar","Refugees / Tiina Meri: Hyckleri who threatens",0,1,0,1
482,"Poland","2003-02-01","Rzeczpospolita","Print","Piracka flaga nad lotniskiem","Pirate flag over the airport",0,1,0,1
483,"UK","2017-10-01","mirror.co.uk","Online","Man charged with Edmonton terror attack after knifeman drove into officer is
named;
Abdulahi Hasan Sharif, 30, a Somali refugee, is charged with five counts of
attempted murder after he allegedly stabbed a police officer and ran down
several pedestrians","Man charged with Edmonton terror attack after knifeman drove into officer is
named;
Abdulahi Hasan Sharif, 30, a Somali refugee, is charged with five counts of
attempted murder after he allegedly stabbed a police officer and ran down
several pedestrians",0,0,0,1
484,"Spain","2015-04-07","ABC","Print","El ministro de Trabajo, a la caza de ilegales en el aeropuertoEl ministro de
Trabajo «caza» ilegales en el aeropuerto","The Minister of Labor, hunting for illegals at the airportThe minister of
Illegal hunting work at the airport",0,0,0,1
485,"UK","2015-10-12","The Daily Telegraph","Print","Hate Tories? Angry at immigrants? The problem is you, not them;
The rallying cry of 'Tory scum', like other senseless hatreds, is a mask for
Labour's own inadequacies","Hate Tories? Angry at immigrants? The problem is you, not them;
The rallying cry of 'Tory scum', like other senseless hatreds, is a mask for
Labour's own inadequacies",1,1,1,0
486,"Poland","2017-07-14","Rzeczpospolita","Print","Nowoczesna jedzie nad granicę","Modern going over the limit",0,0,0,1
487,"Poland","2007-12-26","Gazeta Wyborcza","Print","Kup sobie kawałek granicy","Buy a piece of the border",0,0,0,0
488,"Spain","2011-05-29","ABC","Print","SECTION: DOMINGOS","SECTION: SUNDAYS",0,1,0,0
489,"Poland","2017-08-21","Gazeta Wyborcza","Print","Wiadomości ogłosiły, że Szwedzi popierają politykę PiS. Na tendencyjny
materiał reaguje ambasada","News  announced that the Swedes were in favor of the PiS policy. On biased
the embassy reacts to the material",0,0,0,0
490,"Poland","2016-05-14","Gazeta Wyborcza","Print","Libijska porażka Europy. Operacja „Sophia nie ograniczyła przemytu imigrantów","The Libyan defeat of Europe. Operation Sophia did not limit immigrant smuggling",0,0,0,0
491,"Romania","2015-03-25","Ziarul Financiar","Print","CE alocă 24 milioane de euro programului multianual al României pentru azil , migraţie şi integrare","EC allocates 24 million euro multiannual program of Romania for asylum , migration and integration",1,0,0,0
492,"Spain","2004-03-02","El Pais","Print","500 inmigrantes montan asentamientos al comienzo de la campana fresera","500 immigrants assemble settlements at the beginning of the strawberry bell",0,0,0,0
493,"Hungary","2015-08-17","Nepszabadsag","Print","Felbecsülni sem tudják, hány magyar vándorolt ki","I can not estimate how many emigrated to Hungary",0,1,0,0
494,"Hungary","2016-02-15","Magyar Idök","Print","Kormányfői értékelés az Országgyűlésben","Heads of government reviews the National Assembly",0,0,0,1
495,"Sweden","2005-12-01","Dagens Nyheter","Print","Dörrvakt fälld för att ha stoppat invandrare","Doorman fired to have stopped immigrants",0,0,0,0
496,"Poland","2016-06-13","Rzeczpospolita","Print","Brawa, róże i gwizdy","Applause, roses and whistles",0,0,0,0
497,"Romania","2015-11-09","Evenimentul Zilei","Print","Un român a fost condamnat în Austria la doi ani de închisoare pentru trafic de migranți","A Romanian has been sentenced in Austria to two years in prison for smuggling migrants",0,0,0,1
498,"Hungary","2017-10-24","Magyar Hirlap","Print","Soros Györggyel találkozott a szlovák államfő","George Soros met with the Slovak head of state",0,0,0,0
499,"UK","2007-11-17","The Daily Telegraph","Print","DVD REVIEWS","DVD REVIEWS",0,0,0,0
500,"Spain","2014-09-01","ABC","Print","Localizan a tres inmigrantes que viajaban en los bajos de camiones","They locate three immigrants who traveled in the low of trucks",0,0,0,1
501,"UK","2004-02-11","The Guardian","Print","Top judge condemns asylum proposals: Drop plan to bar courts from review
process, urges Lord Woolf","Top judge condemns asylum proposals: Drop plan to bar courts from review
process, urges Lord Woolf",0,0,0,0
502,"UK","2001-03-09","The Guardian","Print","Eurostar asylum seekers flee","Eurostar asylum seekers flee",0,0,0,1
503,"Hungary","2017-01-25","Magyar Idök","Print","Hamisnak tartják Rutte migránsellenes szavait","Rutte is considered to be false migránsellenes words",0,0,0,0
504,"Poland","2016-09-09","Rzeczpospolita","Print","Fiasko unijnych planów","EU plans fiasco",0,0,0,1
505,"UK","2008-03-21","The Guardian","Print","Hospital confirms first UK case of extreme drug-resistant tuberculosis: Glasgow
officials tracing Somali man's contacts: Epidemic unlikely but case highlights
disease's danger","Hospital confirms first UK case of extreme drug-resistant tuberculosis: Glasgow
officials tracing Somali man's contacts: Epidemic unlikely but case highlights
disease's danger",0,0,1,0
506,"Sweden","2002-06-20","Aftonbladet","Print","Starta ett kriscentrum åt förtryckta kvinnor","Start a crisis center for oppressed women",0,0,1,1
507,"Hungary","2015-06-16","Nepszabadsag","Print","Keresztény tanítás Semjén módra","Christian teaching style Semjén",0,0,0,1
508,"Germany","2015-12-19","taz","Print","in aller kürze;
Radio Bremen wird Nordwestradio-","in a nutshell;
Radio Bremen becomes Northwest Radio",1,0,0,0
509,"Romania","2017-12-26","Romania Libera","Print","Criză umanitară: sute de migranți salvați din apele Mediteranei pe coastele Siciliei","Humanitarian crisis: hundreds of migrants rescued from the waters of the Mediterranean coast of Sicily",0,0,0,0
510,"Sweden","2015-11-08","Dagens Nyheter","Print","Tältlägret får klartecken","The tent camp is cleared",0,0,1,0
511,"Spain","2007-12-11","ABC","Print","Cada menor inmigrante le cuesta a la Junta 113 euros al día","Each immigrant minor costs the Board 113 euros per day",1,0,1,0
512,"Romania","2017-08-10","Ziarul Financiar","Print","Mesaj surprinzător din Turcia: Ministrul turc al Afacerilor Europene îi cere Europei să nu ridice ziduri împotriva refugiaţilor","Message surprising in Turkey: Turkish Minister of European Affairs asks Europe not to raise walls against refugees",0,0,0,0
513,"Sweden","2010-12-16","Dagens Nyheter","Print","Katastrofen - de dör i vågorna","The catastrophe - they die in the waves",0,0,0,1
514,"Hungary","2016-04-09","Magyar Idök","Print","Magyar javaslat készül a schengeni szabályokról","Hungarian proposal will be made to the Schengen rules",0,0,0,1
515,"UK","2010-06-26","Daily Mirror","Print","MIGRANT CAP ROW;
MINISTERS REBEL AT SECRET MEETING","MIGRANT CAP ROW;
MINISTERS REBEL AT SECRET MEETING",1,0,0,1
516,"Spain","2015-06-02","El Pais","Print","PRESIÓN MIGRATORIA SOBRE GRECIA.","MIGRATORY PRESSURE ON GREECE.",0,0,0,0
517,"Sweden","2015-04-30","Dagens Nyheter","Print","Asylmottagande tar","Asylum reception takes",1,0,0,0
518,"Germany","2009-10-15","taz","Print","Der zu heiße Stuhl;
DANIEL BAX ÜBER DAS INTEGRATIONSMINISTERIUM, DAS ES NICHT GEBEN WIRD","The chair too hot;
DANIEL BAX ON THE INTEGRATION MINISTRY THAT WILL NOT GIVE IT",0,0,1,0
519,"UK","2004-01-03","The Daily Telegraph","Print","Howard labouring with lack of recognition among voters Your Shout: Andrew Gimson
takes soundings in Lowestoft","Howard labouring with lack of recognition among voters Your Shout: Andrew Gimson
takes soundings in Lowestoft",0,0,0,0
520,"Poland","2007-05-09","Rzeczpospolita","Print","Odmowę zatrudnienia cudzoziemca oceni minister","A refusal to employ a foreigner will evaluate Minister",0,1,0,1
521,"Germany","2006-08-12","Frankfurter Rundschau","Print","Weniger werden eingebürgert    ;
Türken stellen nach wie vor die größte Gruppe in Hessen","Less are naturalized;
Turks are still the largest group in Hesse",0,0,0,0
522,"Hungary","2014-01-06","Nepszava","Print","Nem kellenek a szegények","We do not need the poor",0,1,1,0
523,"UK","2008-05-06","Metro","Print","MORE FIRMS FINED OVER ILLEGAL WORKERS","MORE FIRMS FINED OVER ILLEGAL WORKERS",0,1,0,1
524,"Hungary","2016-03-31","Magyar Idök","Print","Humanitárius válság a bevándorlás miatt","Humanitarian crisis in immigration due",0,1,1,1
525,"Germany","2014-10-13","Spiegel Online","Online","Ägyptische Gastarbeiter protestieren in Saudi-Arabien;","Egyptian guest workers protest in Saudi Arabia;",0,1,0,1
526,"Spain","2000-07-12","El Pais","Print","INTERCEPTADOS EN TARIFA 24 INMIGRANTES SUBSAHARIANOS A BORDO DE UNA 'ZODIAC';
 LAS TRES EMBARAZADAS DETENIDAS EL SABADO ESTAN YA FUERA DE PELIGRO","INTERCEPTED IN TARIFF 24 SUBSAHARIAN IMMIGRANTS ON BOARD OF A 'ZODIAC';
THE THREE PREGNANT DETAINED ON SATURDAY ARE ALREADY OUT OF DANGER",0,0,1,1
527,"Germany","2009-05-13","Die Welt","Print","Diese Grüne festigt Wowereits Macht;
Bilkay Öney verlässt ihre Partei und wechselt zur SPD - Regierungskoalition
verfügt wieder über Mehrheit von drei Stimmen","This green strengthens Wowereits power;
Bilkay Öney leaves her party and joins the SPD coalition government
again has a majority of three votes",0,0,0,0
528,"Hungary","2016-11-25","Magyar Hirlap","Print","Munkacsoport alakul a nemzeti biztonsági stratégia felülvizsgálatára","Working group formed to review the national security strategy",0,0,0,1
529,"Poland","2017-05-21","Gazeta Wyborcza","Print","Nowoczesna atakuje","Modern attack",0,0,0,0
530,"Germany","2009-06-18","Die Welt","Print","Guten Morgen, Frau Sengül-Loof!;
An den Schulen der Stadt hält ein neuer Lehrertyp Einzug: Die Schulbehörde setzt
auf Pädagogen mit ausländischem Hintergrund","Good morning, Mrs. Sengül-Loof! ;
At the city's schools, a new type of teacher has arrived: the school board is setting
on educators with foreign background",0,1,1,0
531,"Poland","2004-06-02","Gazeta Wyborcza","Print","Ambasador Australii zachęcał studentów do odwiedzania jego kraju","The Australian Ambassador encouraged students to visit his country",0,1,1,0
532,"UK","2015-10-13","mirror.co.uk","Online","MPs' fury as minister looking after Syrian refugees fails to say how many
Britain has taken;
Richard Harrington's refusal to reveal figures has added to Labour suspicions
that the Government is not acting quickly enough to help","MPs' fury as minister looking after Syrian refugees fails to say how many
Britain has taken;
Richard Harrington's refusal to reveal figures has added to Labour suspicions
that the Government is not acting quickly enough to help",0,0,1,0
533,"Hungary","2017-02-22","Magyar Hirlap","Print","Zavargások törtek ki Stockholmban","Riots have broken out in Stockholm",0,0,0,1
534,"Hungary","2015-08-10","Magyar Idök","Print","Bevándorlás : kritikus állapotok Európában","Immigration : a critical condition in Europe",0,0,1,0
535,"Hungary","2016-06-01","Magyar Hirlap","Print","Hosszabb távon több tízmillióan indulhatnak el Afrikából","In the longer term may start tens of millions in Africa",0,0,0,1
536,"Germany","2016-12-07","Welt Online","Online","Parteitag;
CDU-Innenexperten setzen auf noch rigidere Asylpolitik","Party congress;
CDU internal experts rely on even more rigid asylum policy",1,1,1,1
537,"Germany","2005-02-09","taz","Print","Verstärktes Klinkenputzen;
Bei der Suche nach zusätzlichen Ausbildungsplätzen wollen sich Handelskammer und
Senat in diesem Jahr speziell an Betriebe wenden, die von MigrantInnen geführt
werden","Reinforced door cleaning;
When looking for additional training places, Chamber of Commerce and
Senate this year to specifically contact businesses that are run by migrants
become",0,1,1,0
538,"Romania","2016-04-18","Ziarul Financiar","Print","Atitudinea UE în criza imigraţiei este dezamăgitoare, acuză Ungaria","EU crisis attitude immigration is disappointing, accuses Hungary",0,0,0,1
539,"Spain","2016-11-09","El Pais","Print","Juncker: Si la UE no quita visados a Turquía será culpa de Erdogan","Juncker:  If the EU does not remove visas from Turkey it will be Erdogan's fault",0,0,0,0
540,"Hungary","2013-05-27","Nepszava","Print","Belgrád kételyei a megállapodásról","Belgrade doubts about the agreement",0,0,0,1
541,"Spain","2016-03-21","El Pais","Print","Una fragata española recoge frente a Libia a más de 650 inmigrantes","A Spanish frigate collects more than 650 immigrants from Libya",0,0,1,0
542,"Romania","2016-08-17","Ziarul Financiar","Print","Fostele ţări comuniste plâng după cei care au plecat să lucreze în străinătate. Vrem să vă întoarceţi acasă, avem nevoie de voi","Former communist countries mourn those who left to work abroad. We want to return home, we need you",1,1,0,0
543,"Romania","2016-12-20","Ziarul Financiar","Print","Autorul atacului de la Berlin ar fi un refugiat din Afganistan sau Pakistan","Author attack on Berlin as a refugee from Afghanistan or Pakistan",0,0,0,1
544,"Germany","2003-01-25","Frankfurter Rundschau","Print","Im Vorlaufkurs kriegen sie Deutsch auf die Reihe   ;
An der Mathildenschule werden Jungen und Mädchen fit für die Einschulung gemacht
/ Am Ende eine Beurteilung","In the preliminary course they get German on the series;
At the Mathildenschule, boys and girls are getting ready for school enrollment
/ At the end of an assessment",0,1,1,0
545,"Hungary","2015-02-20","Nepszava","Print","Adományok a menekülttáborokban","Donations to the refugee camps",0,0,0,0
546,"Germany","2016-02-25","Frankfurter Rundschau","Print","Die Pläne der Abschotter","The plans of the breakers",0,0,0,0
547,"Hungary","2015-05-22","Magyar Idök","Print","Hírsor","Hirson",0,0,0,0
548,"Sweden","2009-02-22","Expressen","Print","Ingen rubrik tillgänglig","No title available",0,0,0,0
549,"Sweden","2015-07-11","Svenska Dagbladet","Print","Europa är IS nästa stora slagfält","Europe is IS next big battlefield",0,0,0,1
550,"Spain","2012-11-14","El Pais","Print","Un exministro muy conservador","A very conservative former minister",0,0,0,0
551,"Sweden","2001-02-01","Expressen","Print","Invandrare som startar eget har svårt få lån","Immigrants who start their own hard to get loans",0,1,0,0
552,"Romania","2016-05-17","Ziarul Financiar","Print","FT: Zeci de imigranţi au dispărut în momentul în care au aflat că vor fi trimişi în România","FT: Dozens of migrants have disappeared when they learned that will be deployed in Romania",1,0,0,0
553,"Germany","2010-03-27","Frankfurter Rundschau","Print","Neue Laternen- königin gesucht;","New lantern queen wanted;",0,1,1,0
554,"Romania","2015-09-15","Evenimentul Zilei","Print","CRIZA IMIGRANŢILOR . Iohannis anunţă o posibilă consultare a Parlamentului","CRISIS IMMIGRANTS . Johannis announces a possible consultation of Parliament",0,0,0,0
555,"Germany","2009-03-12","taz","Print","Zahl der Senioren steigt;
UNO-Bericht zur Entwicklung der Weltbevölkerung: Vier von fünf Menschen leben in
armen Regionen","Number of seniors is increasing;
UN report on world population development: Four out of five people live in
poor regions",0,0,0,0
556,"Spain","2005-11-22","El Pais","Print","Tres grupos piden un pleno sobre inmigracion tras los disturbios en Francia","Three groups request a plenary session on immigration after the riots in France",1,0,1,0
557,"Germany","2014-03-03","taz","Print","Mehr Angriffe auf Heime für Flüchtlinge;
ATTACKEN BKA: Zahl der Übergriffe hat sich mehr als verdoppelt","More attacks on homes for refugees;
ATTACKS BKA: The number of attacks has more than doubled",0,0,0,0
558,"Spain","2010-08-31","El Pais","Print","La política con los gitanos divide al Gobierno francés","The policy with the gypsies divides the French Government",0,1,1,1
559,"Hungary","2017-11-03","Magyar Hirlap","Print","A csehek egyre elégedetlenebbek","The Czechs are increasingly dissatisfied",0,0,0,1
560,"Spain","2001-05-29","El Pais","Print","LOS 'TORIES', ACUSADOS DE PROPICIAR LA TENSION RACIAL EN EL REINO UNIDO;
  LA POLICIA, EN ESTADO DE ALERTA EN MANCHESTER","THE 'TORIES', ACCUSED OF PROVIDING RACIAL TENSION IN THE UNITED KINGDOM;
 THE POLICE, IN A STATE OF ALERT IN MANCHESTER",0,0,0,0
561,"Germany","2000-10-16","taz","Print","Megafon der Massen;
  cdu und wahlkampf","Megaphone of the masses;
cdu and election campaign",0,0,0,0
562,"Germany","2012-09-10","Frankfurter Rundschau","Print","Gemeinsam feiern;
Internationales Essen, Tanz und Gespräche über Migration beim Kulturfest der
Nationen","Party together;
International food, dance and talks about migration at the Cultural Festival of the
Nations",0,1,1,0
563,"Germany","2017-08-26","Frankfurter Rundschau","Print","Messerangriff wegen Schuhen","Knife attack for shoes",0,0,0,1
564,"Germany","2015-09-27","Spiegel Online","Online","800 Flüchtlinge im Mittelmeer gerettet;","800 refugees rescued in the Mediterranean;",0,0,0,0
565,"Romania","2016-04-25","Romania Libera","Print","Tobă și ministrul de Interne din Georgia au discutat despre deschiderea unor noi rute de migrație","Drum and Interior Minister of Georgia discussed the opening of new routes of migration",0,0,0,0
566,"Hungary","2017-05-23","Magyar Hirlap","Print","Kaczynski: Lengyelország nem fogadja el a kvótarendszert","Kaczynski: Poland will not accept a quota system",0,0,0,1
567,"Hungary","2008-11-27","Nepszabadsag","Print","Vörös és fekete - visszatér az osztrák klasszikus","Red and black - returning to the classic Austrian",0,1,1,1
568,"Romania","2016-01-12","Ziarul Financiar","Print","Germania retrimite în Austria tot mai mulţi imigranţi","Germany resend in Austria more and more immigrants",0,0,0,1
569,"Poland","2011-03-28","Rzeczpospolita","Print","Włosi opracowali plan dla Libii","Italians developed a plan for Libya",1,0,0,0
